
Time;User;Nice;Sys;Idle;IO;Run;Ctxt/s;IRQ/s;Fork;Exec;Exit;Watts;
19:31:27;0.0;0.0;0.0;100.0;0.0;1;884;644;3;2;6;15.94;
19:31:27;0.1;0.0;0.0;99.9;0.0;1;720;314;0;0;0;15.05;
19:31:28;0.0;0.0;0.0;100.0;0.0;1;548;340;0;0;0;14.91;
19:31:28;0.0;0.0;0.1;99.9;0.0;1;886;726;12;12;9;16.93;
19:31:29;0.0;0.0;0.0;100.0;0.0;1;428;298;0;0;0;14.75;
19:31:29;0.0;0.0;0.3;99.7;0.0;1;1348;926;13;9;16;16.91;
19:31:30;0.0;0.0;0.0;100.0;0.0;1;462;328;0;0;0;14.83;
19:31:30;0.0;0.0;0.0;99.9;0.1;1;380;272;0;0;0;14.97;
19:31:31;0.0;0.0;0.0;100.0;0.0;1;368;228;0;0;0;14.55;
19:31:31;5.1;0.0;0.1;94.7;0.0;2;772;778;6;5;1;41.96;
19:31:32;6.3;0.0;0.0;93.7;0.0;2;536;718;0;0;0;47.30;
19:31:32;6.2;0.0;0.2;93.5;0.0;2;814;880;14;14;11;48.05;
19:31:33;6.1;0.0;0.1;93.8;0.0;2;400;618;0;0;0;47.50;
19:31:33;6.2;0.0;0.1;93.6;0.0;2;920;902;13;7;16;48.47;
19:31:34;6.1;0.0;0.1;93.8;0.0;2;434;644;0;0;0;48.16;
19:31:34;6.0;0.0;0.4;93.5;0.1;2;990;920;4;4;4;49.32;
19:31:35;6.2;0.0;0.1;93.6;0.0;2;474;628;0;0;0;48.57;
19:31:35;5.1;0.0;1.1;93.7;0.0;2;596;680;0;0;0;51.26;
19:31:36;6.3;0.0;0.0;93.7;0.0;2;1032;752;0;0;0;59.86;
19:31:36;6.4;0.0;0.0;93.6;0.0;2;896;860;0;0;0;60.17;
19:31:37;6.3;0.0;0.0;93.7;0.0;2;832;804;0;0;0;60.33;
19:31:37;6.5;0.0;0.2;93.2;0.0;2;1348;1022;14;14;11;61.25;
19:31:38;6.4;0.0;0.0;93.6;0.0;2;1010;778;0;0;0;60.41;
19:31:38;6.4;0.0;0.1;93.5;0.0;2;1410;940;13;7;16;60.95;
19:31:39;4.5;0.0;0.3;95.2;0.0;1;910;686;1;0;6;49.89;
19:31:39;0.0;0.0;0.1;99.8;0.1;1;1066;716;4;4;4;16.88;
19:31:40;0.0;0.0;0.0;100.0;0.0;1;540;356;0;0;0;15.27;
